Id,Language,Include Regex,Test Framework ,
250,rb,require +\'bacon\',Bacon,
251,rb,"require +\""minitest",minitest,
252,rb,include +TMF,TMF,
253,rs,#\[test\],Rust Built-In Testing,
254,scala,import +org\.scalatest,ScalaTest,
255,scala,import +rehersal\.,Rehersal,
256,scala,import +scunits\.,ScUnit,
257,scala,import +[\w\.]*specs2\.,specs,
258,scala,import +[\w\.]*scalacheck\.,ScalaCheck,
259,sh,\. +assert\.sh,assert.sh,
260,sh,@test,bats,
261,sh,atf_test_case,ATF,
262,sh,jshutest\.inc,jshu,
264,sh,shuAssert,ShUnit,
265,sh,_shunit_assert,shUnit2,
266,swift,import +Quick,Quick,
267,swift,import +Sleipnir,Sleipnir,
268,swift,XCTest\.h,XCTest,
269,tex,\RequirePackage\{qstest\},qstest,
270,vim,unittest#testcase,vim-unittest,
271,vim,UltiTestStart,vim-ultimate-test-utility,
277,rb,"(""|')[\w]*test[\w]*(""|')",default,
278,rb,"(""|')[\w]*spec[\w]*(""|')",default,
279,cs,using +Xunit[\.[\w]*]*,Xunit,
280,cs,using +XamalTest[\.[\w]*]*,XAMALTest,
